ID,Views,Likes,Dislikes,Duration,Title
2_w-vOR0TuE,"10,103,008","278,424","5,133",20:3,Learn How Baby Kittens Grow: 0-8 Weeks!
7yLxxyzGiko,"43,108,450","511,500","63,119",3:29,Kittens walk with a tiny chicken
SB-qEYVdvXA,"32,968,970","216,151","39,460",11:8,So many cute kittens videos compilation 2018
tBpOdJ_G-sQ,"81,098,566","199,614","108,459",17:50,Fun Pet Care Game - Little Kitten Adventures (New Update) - Play Costume Dress-Up Party Gamepaly
L6EwZWWRA-U,"35,764,439","525,275","23,614",2:9,People Who Hate Cats Meet Kittens
TkfS6NttCX8,"3,464,818","115,908",745,3:10,Phone-Sized Kitten Turns Guy Into A Cat Person | The Dodo Little But Fierce
MSi-FYrSUu8,"60,538","3,896",11,6:57,Ew! These Kittens Have Tapeworms in their Poop! (Learn how to identify and treat tapeworms!)
DlUyHogoyvE,"21,163,696","374,431","10,870",2:21,Golden Retriever Shocked by a Kitten occupying his bed!
l3fYNSPOIEk,"20,956",445,19,9:43,Cute Kittens Doing Funny Things 2021 🐱 #6 Cutest Cats
jCtweddl3tU,"4,636",171,8,9:37,Cute Kittens Doing Funny Things 2021 🐱 #7 Cutest Cats
jHWKtQHXVJg,"48,170,395","354,117","108,492",6:33,Baby Cats - Cute and Funny Baby Cat Videos Compilation
tfKlu75MOXo,"11,737",863,13,2:15,A Rescued Kitten Never Stop to Cry to Find Her Mom
anzaNj0L4Y4,"145,774","9,606",75,3:29,7 Kittens + 1 Bottle = Absolute Chaos
J-zWw4OukAM,"15,664,769","43,496","25,990",18:24,Little Kitten My Favorite Cat - Play Fun Cute Kitten Pet Care Mini Games For Children
NQzmGewcaAM,"230,603,606","879,657","454,687",16:40,Diana and Roma take care of the kitten
k5TZecpOwXI,"28,172","1,176",89,4:59,Kitten Mimi looks like a different kitten when she takes a bath
nrxNM-8iAow,"164,632","3,272",81,3:9,Kitten Coco fainted because he played without sleeping until morning
15Uos377dRs,"162,484","1,926",80,9:38,"Cute Kittens Doing Funny Things, Cutest kittens in the worlds 2021 🐱Cutest Cats #19🐱"
4joJHaKecBg,"317,374,624","431,432","315,032",41:25,Three Little Kittens Went To The Park - Nursery Rhymes by Cutians™ | ChuChu TV Kids Songs
tKb4vUPpQzo,"14,100,734","432,744","3,573",3:2,Stray Kitten Picks A Dog As Her Mom | The Dodo Cat Crazy
